"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"55","Wisconsin","55001","Adams","2000","44.0","",
"55","Wisconsin","55001","Adams","2001","51.7","",
"55","Wisconsin","55001","Adams","2002","70.8","",
"55","Wisconsin","55001","Adams","2003","48.5","",
"55","Wisconsin","55001","Adams","2004","42.0","",
"55","Wisconsin","55001","Adams","2005","38.6","",
"55","Wisconsin","55001","Adams","2006","26.6","",
"55","Wisconsin","55001","Adams","2007","26.5","",
"55","Wisconsin","55001","Adams","2008","24.2","",
"55","Wisconsin","55001","Adams","2009","29.0","",
"55","Wisconsin","55001","Adams","2010","30.3","",
"55","Wisconsin","55001","Adams","2011","29.7","",
"55","Wisconsin","55001","Adams","2012","24.9","",
"55","Wisconsin","55001","Adams","2013","19.2","",
"55","Wisconsin","55001","Adams","2014","20.1","",
"55","Wisconsin","55001","Adams","2015","29.3","",
"55","Wisconsin","55001","Adams","2016","29.4","",
"55","Wisconsin","55001","Adams","2017","29.1","",
"55","Wisconsin","55001","Adams","2018","27.8","",
"55","Wisconsin","55001","Adams","2019","51.4","",
"55","Wisconsin","55001","Adams","2020","40.2","",
"55","Wisconsin","55001","Adams","2021","49.0","",
"55","Wisconsin","55003","Ashland","2000","77.9","",
"55","Wisconsin","55003","Ashland","2001","67.6","",
"55","Wisconsin","55003","Ashland","2002","57.6","",
"55","Wisconsin","55003","Ashland","2003","77.4","",
"55","Wisconsin","55003","Ashland","2004","59.3","",
"55","Wisconsin","55003","Ashland","2005","49.2","",
"55","Wisconsin","55003","Ashland","2006","68.2","",
"55","Wisconsin","55003","Ashland","2007","59.3","",
"55","Wisconsin","55003","Ashland","2008","45.9","",
"55","Wisconsin","55003","Ashland","2009","69.3","",
"55","Wisconsin","55003","Ashland","2010","66.1","",
"55","Wisconsin","55003","Ashland","2011","57.1","",
"55","Wisconsin","55003","Ashland","2012","41.4","",
"55","Wisconsin","55003","Ashland","2013","54.6","",
"55","Wisconsin","55003","Ashland","2014","56.6","",
"55","Wisconsin","55003","Ashland","2015","68.9","",
"55","Wisconsin","55003","Ashland","2016","67.9","",
"55","Wisconsin","55003","Ashland","2017","63.5","",
"55","Wisconsin","55003","Ashland","2018","62.0","",
"55","Wisconsin","55003","Ashland","2019","54.0","",
"55","Wisconsin","55003","Ashland","2020","64.9","",
"55","Wisconsin","55003","Ashland","2021","44.6","",
"55","Wisconsin","55005","Barron","2000","75.3","",
"55","Wisconsin","55005","Barron","2001","62.2","",
"55","Wisconsin","55005","Barron","2002","66.6","",
"55","Wisconsin","55005","Barron","2003","60.3","",
"55","Wisconsin","55005","Barron","2004","55.8","",
"55","Wisconsin","55005","Barron","2005","53.7","",
"55","Wisconsin","55005","Barron","2006","41.9","",
"55","Wisconsin","55005","Barron","2007","46.4","",
"55","Wisconsin","55005","Barron","2008","41.3","",
"55","Wisconsin","55005","Barron","2009","39.8","",
"55","Wisconsin","55005","Barron","2010","42.0","",
"55","Wisconsin","55005","Barron","2011","41.5","",
"55","Wisconsin","55005","Barron","2012","33.7","",
"55","Wisconsin","55005","Barron","2013","43.3","",
"55","Wisconsin","55005","Barron","2014","39.7","",
"55","Wisconsin","55005","Barron","2015","38.6","",
"55","Wisconsin","55005","Barron","2016","43.1","",
"55","Wisconsin","55005","Barron","2017","58.7","",
"55","Wisconsin","55005","Barron","2018","36.2","",
"55","Wisconsin","55005","Barron","2019","44.4","",
"55","Wisconsin","55005","Barron","2020","33.0","",
"55","Wisconsin","55005","Barron","2021","44.7","",
"55","Wisconsin","55007","Bayfield","2000","50.4","",
"55","Wisconsin","55007","Bayfield","2001","48.4","",
"55","Wisconsin","55007","Bayfield","2002","42.1","",
"55","Wisconsin","55007","Bayfield","2003","41.5","",
"55","Wisconsin","55007","Bayfield","2004","38.8","",
"55","Wisconsin","55007","Bayfield","2005","49.4","",
"55","Wisconsin","55007","Bayfield","2006","28.9","",
"55","Wisconsin","55007","Bayfield","2007","30.4","",
"55","Wisconsin","55007","Bayfield","2008","43.0","",
"55","Wisconsin","55007","Bayfield","2009","44.3","",
"55","Wisconsin","55007","Bayfield","2010","33.6","",
"55","Wisconsin","55007","Bayfield","2011","32.5","",
"55","Wisconsin","55007","Bayfield","2012","25.6","",
"55","Wisconsin","55007","Bayfield","2013","37.2","",
"55","Wisconsin","55007","Bayfield","2014","31.5","",
"55","Wisconsin","55007","Bayfield","2015","51.1","",
"55","Wisconsin","55007","Bayfield","2016","33.3","",
"55","Wisconsin","55007","Bayfield","2017","35.1","",
"55","Wisconsin","55007","Bayfield","2018","36.7","",
"55","Wisconsin","55007","Bayfield","2019","34.5","",
"55","Wisconsin","55007","Bayfield","2020","42.0","",
"55","Wisconsin","55007","Bayfield","2021","41.4","",
"55","Wisconsin","55009","Brown","2000","32.1","",
"55","Wisconsin","55009","Brown","2001","31.8","",
"55","Wisconsin","55009","Brown","2002","34.3","",
"55","Wisconsin","55009","Brown","2003","31.7","",
"55","Wisconsin","55009","Brown","2004","33.7","",
"55","Wisconsin","55009","Brown","2005","34.5","",
"55","Wisconsin","55009","Brown","2006","30.3","",
"55","Wisconsin","55009","Brown","2007","29.2","",
"55","Wisconsin","55009","Brown","2008","31.9","",
"55","Wisconsin","55009","Brown","2009","30.2","",
"55","Wisconsin","55009","Brown","2010","32.6","",
"55","Wisconsin","55009","Brown","2011","32.7","",
"55","Wisconsin","55009","Brown","2012","37.0","",
"55","Wisconsin","55009","Brown","2013","33.5","",
"55","Wisconsin","55009","Brown","2014","31.3","",
"55","Wisconsin","55009","Brown","2015","28.5","",
"55","Wisconsin","55009","Brown","2016","27.2","",
"55","Wisconsin","55009","Brown","2017","27.6","",
"55","Wisconsin","55009","Brown","2018","25.7","",
"55","Wisconsin","55009","Brown","2019","27.1","",
"55","Wisconsin","55009","Brown","2020","21.3","",
"55","Wisconsin","55009","Brown","2021","21.9","",
"55","Wisconsin","55011","Buffalo","2000","39.8","",
"55","Wisconsin","55011","Buffalo","2001","46.6","",
"55","Wisconsin","55011","Buffalo","2002","55.5","",
"55","Wisconsin","55011","Buffalo","2003","42.7","",
"55","Wisconsin","55011","Buffalo","2004","50.1","",
"55","Wisconsin","55011","Buffalo","2005","27.0","",
"55","Wisconsin","55011","Buffalo","2006","42.8","",
