"County","Percent","Preceding Period","Year Ago from Period","Year"
"Adams County, WI",12.5,12.7,12.7,2017          
"Ashland County, WI",21.7,22.2,22.2,2017
"Barron County, WI",19.5,18.2,18.2,2017
"Bayfield County, WI",31.0,29.2,29.2,2017
"Brown County, WI",29.5,28.2,28.2,2017
"Buffalo County, WI",17.9,18.2,18.2,2017
"Burnett County, WI",18.5,18.5,18.5,2017
"Calumet County, WI",28.6,28.7,28.7,2017
"Chippewa County, WI",20.2,19.3,19.3,2017
"Clark County, WI",11.4,11.5,11.5,2017
"Columbia County, WI",22.6,22.7,22.7,2017
"Crawford County, WI",16.8,15.7,15.7,2017
"Dane County, WI",50.0,49.0,49.0,2017
"Dodge County, WI",16.1,16.3,16.3,2017
"Door County, WI",32.7,31.3,31.3,2017
"Douglas County, WI",23.9,22.8,22.8,2017
"Dunn County, WI",27.7,26.6,26.6,2017
"Eau Claire County, WI",30.3,30.8,30.8,2017
"Florence County, WI",16.1,17.5,17.5,2017
"Fon du Lac County, WI",22.9,21.9,21.9,2017
"Forest County, WI",14.5,14.1,14.1,2017
"Grant County, WI",21.5,21.3,21.3,2017
"Green County, WI",23.2,22.7,22.7,2017
"Green Lake County, WI",18.5,17.7,17.7,2017
"Iowa County, WI",24.5,23.0,23.0,2017
"Iron County, WI",19.3,19.7,19.7,2017
"Jackson County, WI",13.8,13.9,13.9,2017
"Jefferson County, WI",23.9,23.5,23.5,2017
"Juneau County, WI",13.3,12.9,12.9,2017
"Kenosha County, WI",25.1,24.6,24.6,2017
"Kewaunee County, WI",18.2,16.9,16.9,2017
"La Crosse County, WI",33.0,32.5,32.5,2017
"Lafayette County, WI",17.9,17.7,17.7,2017
"Langlade County, WI",16.6,16.1,16.1,2017
"Lincoln County, WI",17.3,16.0,16.0,2017
"Manitowoc County, WI",19.7,19.7,19.7,2017
"Marathon County, WI",24.5,23.9,23.9,2017
"Marinette County, WI",14.8,14.5,14.5,2017
"Marquette County, WI",13.6,13.8,13.8,2017
"Menominee County, WI",15.9,16.5,16.5,2017
"Milwaukee County, WI",30.1,29.7,29.7,2017
"Monroe County, WI",19.5,18.2,18.2,2017
"Oconto County, WI",16.8,16.2,16.2,2017
"Oneida County, WI",27.5,26.2,26.2,2017
"Outagamie County, WI",28.3,27.8,27.8,2017
"Ozaukee County, WI",47.7,46.7,46.7,2017
"Pepin County, WI",19.1,18.3,18.3,2017
"Pierce County, WI",27.7,27.8,27.8,2017
"Polk County, WI",19.8,19.6,19.6,2017
"Portage County, WI",31.5,30.3,30.3,2017
"Price County, WI",17.0,16.2,16.2,2017
"Racine County, WI",24.4,24.0,24.0,2017
"Richland County, WI",18.8,17.8,17.8,2017
"Rock County, WI",21.4,20.8,20.8,2017
"Rusk County, WI",14.8,14.8,14.8,2017
"St. Croix County, WI",34.0,33.4,33.4,2017
"Sauk County, WI",23.4,22.3,22.3,2017
"Sawyer County, WI",22.0,22.1,22.1,2017
"Shawano County, WI",15.8,15.6,15.6,2017
"Sheboygan County, WI",23.8,23.6,23.6,2017
"Taylor County, WI",14.4,13.5,13.5,2017
"Trempealeau County, WI",19.7,19.3,19.3,2017
"Vernon County, WI",21.6,21.2,21.2,2017
"Vilas County, WI",27.1,26.8,26.8,2017
"Walworth County, WI",28.5,27.8,27.8,2017
"Washburn County, WI",22.0,21.6,21.6,2017
"Washington County, WI",29.7,29.4,29.4,2017
"Waukesha County, WI",42.9,41.6,41.6,2017
"Waupaca County, WI",18.5,17.7,17.7,2017
"Waushara County, WI",15.2,15.1,15.1,2017
"Winnebago County, WI",27.3,26.9,26.9,2017
"Wood County, WI",21.1,20.4,20.4,2017
"Adams County, WI",12.4,12.5,12.5 ,2018
"Ashland County, WI",21.1,21.7,21.7,2018
"Barron County, WI",19.9,19.5,19.5,2018
"Bayfield County, WI",30.5,31.0,31.0,2018
"Brown County, WI",29.6,29.5,29.5,2018
"Buffalo County, WI",17.9,17.9,17.9,2018
"Burnett County, WI",20.0,18.5,18.5,2018
"Calumet County, WI",28.7,28.6,28.6,2018
"Chippewa County, WI",20.1,20.2,20.2,2018
"Clark County, WI",11.5,11.4,11.4,2018
"Columbia County, WI",23.2,22.6,22.6,2018
"Crawford County, WI",17.8,16.8,16.8,2018
"Dane County, WI",50.7,50.0,50.0,2018
"Dodge County, WI",16.5,16.1,16.1,2018
"Door County, WI",32.1,32.7,32.7,2018
"Douglas County, WI",24.0,23.9,23.9,2018
"Dunn County, WI",28.0,27.7,27.7,2018
"Eau Claire County, WI",31.8,30.3,30.3,2018
"Florence County, WI",18.3,16.1,16.1,2018
"Fon du Lac County, WI",22.7,22.9,22.9,2018
"Forest County, WI",15.6,14.5,14.5,2018
"Grant County, WI",23.0,21.5,21.5,2018
"Green County, WI",23.0,23.2,23.2,2018
"Green Lake County, WI",19.3,18.5,18.5,2018
"Iowa County, WI",24.3,24.5,24.5,2018
"Iron County, WI",20.0,19.3,19.3,2018
"Jackson County, WI",14.4,13.8,13.8,2018
"Jefferson County, WI",24.8,23.9,23.9,2018
"Juneau County, WI",13.6,13.3,13.3,2018
"Kenosha County, WI",25.7,25.1,25.1,2018
"Kewaunee County, WI",19.1,18.2,18.2,2018
"La Crosse County, WI",34.3,33.0,33.0,2018
"Lafayette County, WI",18.9,17.9,17.9,2018
"Langlade County, WI",16.5,16.6,16.6,2018
"Lincoln County, WI",18.3,17.3,17.3,2018
"Manitowoc County, WI",19.9,19.7,19.7,2018
"Marathon County, WI",25.6,24.5,24.5,2018
"Marinette County, WI",15.0,14.8,14.8,2018
