County,Value
Adams,15.3
Ashland,15.8
Barron,12.3
Bayfield,14.2
Brown,8.6
Buffalo,8.8
Burnett,10.7
Calumet,5.3
Chippewa,11.3
Clark,11.9
Columbia,7.6
Crawford,12.9
Dane,10.8
Dodge,8.9
Door,8.4
Douglas,11.7
Dunn,12.5
Eau Claire,12.9
Florence,11.9
Fond du Lac,9.5
Forest,14.7
Grant,14.0
Green,7.7
Green Lake,11.0
Iowa,8.2
Iron,13.2
Jackson,12.0
Jefferson,8.1
Juneau,13.4
Kenosha,12.0
Kewaunee,7.3
La Crosse,10.9
Lafayette,11.3
Langlade,12.7
Lincoln,10.6
Manitowoc,10.4
Marathon,7.5
Marinette,12.0
Marquette,10.8
Menominee,26.5
Milwaukee,19.1
Monroe,13.2
Oconto,9.2
Oneida,9.4
Outagamie,7.2
Ozaukee,4.2
Pepin,10.3
Pierce,8.5
Polk,9.6
Portage,11.3
Price,12.4
Racine,12.6
Richland,14.3
Rock,10.9
Rusk,14.3
Sauk,8.6
Sawyer,14.5
Shawano,9.6
Sheboygan,7.5
St. Croix,4.7
Taylor,10.3
Trempealeau,8.0
Vernon,13.6
Vilas,10.9
Walworth,10.1
Washburn,12.5
Washington,4.5
Waukesha,5.0
Waupaca,10.4
Waushara,10.9
Winnebago,10.4
