County,ANSI_Code,Year,Total_Benefits,Retirement_Benefits
"Total, Wisconsin",55,2017.0,1620596,1255634
Adams,55001,2017.0,9407,7225
Ashland,55003,2017.0,5142,3813
Barron,55005,2017.0,15396,12003
Bayfield,55007,2017.0,6453,5277
Brown,55009,2017.0,65224,49862
Buffalo,55011,2017.0,4251,3359
Burnett,55013,2017.0,7216,5863
Calumet,55015,2017.0,11767,9270
Chippewa,55017,2017.0,18114,13973
Clark,55019,2017.0,8228,6256
Columbia,55021,2017.0,17266,13730
Crawford,55023,2017.0,5431,4200
Dane,55025,2017.0,121864,97828
Dodge,55027,2017.0,25215,19771
Door,55029,2017.0,13283,11194
Douglas,55031,2017.0,12415,9394
Dunn,55033,2017.0,11688,8472
Eau Claire,55035,2017.0,26695,20507
Florence,55037,2017.0,1961,1482
Fond du Lac,55039,2017.0,29916,23520
Forest,55041,2017.0,3443,2702
Grant,55043,2017.0,13840,10908
Green,55045,2017.0,10861,8579
Green Lake,55047,2017.0,6754,5452
Iowa,55049,2017.0,6741,5245
Iron,55051,2017.0,2772,2217
Jackson,55053,2017.0,5721,4391
Jefferson,55055,2017.0,23913,18439
Juneau,55057,2017.0,8536,6397
Kenosha,55059,2017.0,42313,30817
Kewaunee,55061,2017.0,6147,4831
La Crosse,55063,2017.0,30373,23999
Lafayette,55065,2017.0,4414,3374
Langlade,55067,2017.0,7388,5652
Lincoln,55069,2017.0,10329,7975
Manitowoc,55071,2017.0,26949,20929
Marathon,55073,2017.0,37505,29466
Marinette,55075,2017.0,16311,12425
Marquette,55077,2017.0,6134,4790
Menominee,55078,2017.0,1144,834
Milwaukee,55079,2017.0,211553,153111
Monroe,55081,2017.0,10973,8256
Oconto,55083,2017.0,12658,9789
Oneida,55085,2017.0,16266,13201
Outagamie,55087,2017.0,47657,36458
Ozaukee,55089,2017.0,30091,24687
Pepin,55091,2017.0,2514,1859
Pierce,55093,2017.0,10348,8297
Polk,55095,2017.0,14716,11525
Portage,55097,2017.0,18940,15078
Price,55099,2017.0,5844,4572
Racine,55101,2017.0,58376,43593
Richland,55103,2017.0,5329,4088
Rock,55105,2017.0,47394,35484
Rusk,55107,2017.0,5063,3760
St. Croix,55109,2017.0,21287,16758
Sauk,55111,2017.0,18773,14909
Sawyer,55113,2017.0,7274,5888
Shawano,55115,2017.0,13149,10293
Sheboygan,55117,2017.0,35185,27738
Taylor,55119,2017.0,5499,4297
Trempealeau,55121,2017.0,8018,6301
Vernon,55123,2017.0,8908,6850
Vilas,55125,2017.0,11446,9652
Walworth,55127,2017.0,30138,23605
Washburn,55129,2017.0,6761,5405
Washington,55131,2017.0,41114,33403
Waukesha,55133,2017.0,128496,104365
Waupaca,55135,2017.0,17854,13804
Waushara,55137,2017.0,9124,7132
Winnebago,55139,2017.0,46565,35834
Wood,55141,2017.0,24766,19218
"Total, Wisconsin",55,2018.0,1717582,1346045
Adams,55001,2018.0,9977,7754
Ashland,55003,2018.0,5464,4120
Barron,55005,2018.0,16211,12751
Bayfield,55007,2018.0,6835,5659
Brown,55009,2018.0,69481,53735
Buffalo,55011,2018.0,4409,3529
Burnett,55013,2018.0,7590,6200
Calumet,55015,2018.0,12525,9995
Chippewa,55017,2018.0,19179,15013
Clark,55019,2018.0,8633,6635
Columbia,55021,2018.0,18261,14644
Crawford,55023,2018.0,5710,4491
Dane,55025,2018.0,130860,106205
Dodge,55027,2018.0,26842,21236
Door,55029,2018.0,14099,11965
Douglas,55031,2018.0,13060,10014
Dunn,55033,2018.0,12380,9084
Eau Claire,55035,2018.0,28212,22011
Florence,55037,2018.0,2069,1591
Fond du Lac,55039,2018.0,31689,25134
Forest,55041,2018.0,3608,2861
Grant,55043,2018.0,14605,11594
Green,55045,2018.0,11552,9215
Green Lake,55047,2018.0,7128,5785
Iowa,55049,2018.0,7164,5670
Iron,55051,2018.0,2900,2338
Jackson,55053,2018.0,6058,4717
Jefferson,55055,2018.0,25358,19840
Juneau,55057,2018.0,9012,6820
Kenosha,55059,2018.0,44913,33154
Kewaunee,55061,2018.0,6518,5184
La Crosse,55063,2018.0,32181,25670
Lafayette,55065,2018.0,4611,3591
Langlade,55067,2018.0,7806,6015
Lincoln,55069,2018.0,10901,8545
Manitowoc,55071,2018.0,28499,22425
Marathon,55073,2018.0,39718,31550
Marinette,55075,2018.0,17156,13238
Marquette,55077,2018.0,6424,5066
Menominee,55078,2018.0,1196,861
Milwaukee,55079,2018.0,220783,162101
Monroe,55081,2018.0,11660,8872
Oconto,55083,2018.0,13443,10548
Oneida,55085,2018.0,17371,14241
Outagamie,55087,2018.0,51069,39550
Ozaukee,55089,2018.0,32180,26704
Pepin,55091,2018.0,2662,1980
Pierce,55093,2018.0,11061,8970
Polk,55095,2018.0,15664,12359
Portage,55097,2018.0,20193,16226
Price,55099,2018.0,6171,4866
Racine,55101,2018.0,61574,46538
Richland,55103,2018.0,5592,4323
